"Id","IsDeleted","ParentId","ParentSobjectType","CreatedById","CreatedDate","FieldName","DataType","OldvalString","NewvalString","OldvalFirstName","NewvalFirstName","OldvalLastName","NewvalLastName","OldvalNumber","NewvalNumber","OldvalDate","NewvalDate"
"017f40000DGqXtuAQF","0","069f4000008hQc1AAE","ContentDocument","005f40000042AhBAAU","2019-04-23 23:41:28","createText","S","","","","","","","","","",""
"017f40000DGqXuuAQF","0","068f4000009HvlCAAS","ContentVersion","005f40000042AhBAAU","2019-04-23 23:41:39","createText","S","","","","","","","","","",""
"017f40000DGqYHVAQ3","0","068f4000009HvlvAAC","ContentVersion","005f40000042AhBAAU","2019-04-23 23:45:43","createText","S","","","","","","","","","",""
"017f40000DGqYHWAQ3","0","069f4000008hQckAAE","ContentDocument","005f40000042AhBAAU","2019-04-23 23:45:43","createText","S","","","","","","","","","",""
"017f40000DGqYJvAQN","0","068f4000009HvmFAAS","ContentVersion","005f40000042AhBAAU","2019-04-23 23:45:59","createText","S","","","","","","","","","",""
"017f40000DGqYVtAQN","0","a0Hf400000AptJ9EAJ","Affiliation","005f40000042AhBAAU","2019-04-23 23:49:21","createText","S","","","","","","","","","",""
"017f40000DGqYcOAQV","0","068f4000009HvmtAAC","ContentVersion","005f40000042AhBAAU","2019-04-23 23:49:52","createText","S","","","","","","","","","",""
"017f40000DGqYeMAQV","0","068f4000009HvmoAAC","ContentVersion","005f40000042AhBAAU","2019-04-23 23:49:40","createText","S","","","","","","","","","",""
"017f40000DGqYeNAQV","0","069f4000008hQdYAAU","ContentDocument","005f40000042AhBAAU","2019-04-23 23:49:40","createText","S","","","","","","","","","",""
"017f40000DI6vqqAQB","0","068f4000009IBMtAAO","ContentVersion","005f40000042AhBAAU","2019-04-25 02:58:17","createText","S","","","","","","","","","",""
"017f40000DI6vwAAQR","0","068f4000009IBMoAAO","ContentVersion","005f40000042AhBAAU","2019-04-25 02:58:13","createText","S","","","","","","","","","",""
"017f40000DI6vwBAQR","0","069f4000008hfW4AAI","ContentDocument","005f40000042AhBAAU","2019-04-25 02:58:14","createText","S","","","","","","","","","",""
"017f40000DJDAaWAQX","0","a0Hf400000Aq2X4EAJ","Affiliation","005f4000003qkvcAAA","2019-04-25 17:25:35","createText","S","","","","","","","","","",""
"017f40000DJDB9hAQH","0","a0Hf400000Aq2XdEAJ","Affiliation","005f4000003qkvcAAA","2019-04-25 17:26:53","createText","S","","","","","","","","","",""
"017f40000DJDBfMAQX","0","a0Hf400000Aq2ZAEAZ","Affiliation","005f4000003qkvcAAA","2019-04-25 17:28:12","createText","S","","","","","","","","","",""
"017f40000DJDC4cAQH","0","a0Hf400000Aq2ZoEAJ","Affiliation","005f4000003qkvcAAA","2019-04-25 17:29:14","createText","S","","","","","","","","","",""
"017f40000DKDkAbAQL","0","a0Hf400000Aq4cgEAB","Affiliation","005f4000003qkvcAAA","2019-04-26 03:21:01","createText","S","","","","","","","","","",""
"017f40000DKDmB7AQL","0","a0Hf400000Aq4djEAB","Affiliation","005f4000003qkvcAAA","2019-04-26 03:23:42","createText","S","","","","","","","","","",""
"017f40000DKyKJGAQ3","0","a0Hf400000Aq5UDEAZ","Affiliation","005f40000042AhBAAU","2019-04-26 15:31:40","createText","S","","","","","","","","","",""
"017f40000DKyLUjAQN","0","a0Hf400000Aq5UIEAZ","Affiliation","005f40000042AhBAAU","2019-04-26 15:33:09","createText","S","","","","","","","","","",""
"017f40000DKyML4AQN","0","a0Hf400000Aq5UNEAZ","Affiliation","005f40000042AhBAAU","2019-04-26 15:34:38","createText","S","","","","","","","","","",""
"017f40000DKyMTZAQ3","0","a0Hf400000Aq5USEAZ","Affiliation","005f40000042AhBAAU","2019-04-26 15:35:26","createText","S","","","","","","","","","",""
"017f40000DKyNcMAQV","0","068f4000009IUVBAA4","ContentVersion","005f40000042AhBAAU","2019-04-26 15:45:16","createText","S","","","","","","","","","",""
"017f40000DKyQ7lAQF","0","a0Hf400000Aq5UXEAZ","Affiliation","005f40000042AhBAAU","2019-04-26 15:44:51","createText","S","","","","","","","","","",""
"017f40000DKyQ7nAQF","0","a0Hf400000Aq5UYEAZ","Affiliation","005f40000042AhBAAU","2019-04-26 15:48:06","createText","S","","","","","","","","","",""
"017f40000DKyQJSAQ3","0","069f4000008hxvMAAQ","ContentDocument","005f40000042AhBAAU","2019-04-26 15:45:17","createText","S","","","","","","","","","",""
"017f40000DKyQLhAQN","0","068f4000009IUVkAAO","ContentVersion","005f40000042AhBAAU","2019-04-26 15:45:31","createText","S","","","","","","","","","",""
"017f40000DKyQNMAQ3","0","a0Hf400000Aq5UhEAJ","Affiliation","005f40000042AhBAAU","2019-04-26 15:51:39","createText","S","","","","","","","","","",""
"017f40000DKyRUmAQN","0","068f4000009IUeNAAW","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:43","content_version_updated","S","","","","","","","","","",""
"017f40000DKyRUnAQN","0","068f4000009IUeNAAW","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:43","content_version_data_replaced","S","","","","","","","","","",""
"017f40000DKyRWaAQN","0","068f4000009IUC0AAO","ContentVersion","005f40000042AhBAAU","2019-04-26 15:52:09","createText","S","","","","","","","","","",""
"017f40000DKyRWbAQN","0","069f4000008hxckAAA","ContentDocument","005f40000042AhBAAU","2019-04-26 15:52:09","createText","S","","","","","","","","","",""
