"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ReleaseVersion","RunDate","NextRunStartDate","NextRunEndDate","BugsDetected","DataSilo","TotalClasses","TotalClassesCompiled","TotalTests","TotalTestsPassed"
"0Fpf4000000mIwyCAE","0","00000147","2020-10-20 07:25:11","005f4000002cd9KAAQ","2020-10-20 07:25:11","005f4000002cd9KAAQ","2020-10-20 07:25:11","228.00","2020-08-13 00:00:00","2020-10-26 00:00:00","2020-12-17 00:00:00","-1","99.84","-1","-1","2663","2401"
"0Fpf4000000szw0CAA","0","00000001","2018-05-20 01:16:58","005f4000002cd9KAAQ","2018-05-20 01:16:58","005f4000002cd9KAAQ","2018-05-20 01:16:58","198.00","2015-07-14 00:00:00","2015-10-25 00:00:00","2015-12-17 00:00:00","-1","98.44","-1","-1","641","580"
"0Fpf4000000szw1CAA","0","00000002","2018-05-20 01:16:58","005f4000002cd9KAAQ","2018-05-20 01:16:58","005f4000002cd9KAAQ","2018-05-20 01:16:58","200.00","2015-11-07 00:00:00","2016-03-01 00:00:00","2016-04-21 00:00:00","-1","98.49","-1","-1","663","646"
"0Fpf4000000szw2CAA","0","00000004","2018-05-20 01:16:58","005f4000002cd9KAAQ","2018-05-20 01:16:58","005f4000002cd9KAAQ","2018-05-20 01:16:58","202.00","2016-04-04 00:00:00","2016-07-01 00:00:00","2016-08-21 00:00:00","-1","98.68","-1","-1","755","742"
"0Fpf4000000uaacCAA","0","00000005","2019-02-10 16:48:55","005f4000002cd9KAAQ","2019-02-10 16:48:55","005f4000002cd9KAAQ","2019-02-10 16:48:55","218.00","2018-11-27 00:00:00","2019-03-01 00:00:00","2019-04-15 00:00:00","-1","99.79","-1","-1","1430","1381"
"0Fpf40000017UxVCAU","0","00000146","2020-08-06 01:31:15","005f4000002cd9KAAQ","2020-08-06 01:31:15","005f4000002cd9KAAQ","2020-08-06 01:31:15","226.00","2020-04-03 00:00:00","2020-07-16 00:00:00","2020-09-10 00:00:00","-1","99.83","-1","-1","2359","2155"
"0Fpf4000001BQ8xCAG","0","00000006","2019-06-16 03:50:13","005f4000002cd9KAAQ","2019-06-16 03:50:13","005f4000002cd9KAAQ","2019-06-16 03:50:13","220.00","2018-03-30 00:00:00","2019-07-04 00:00:00","2019-08-06 00:00:00","-1","99.74","-1","-1","1558","661"
"0Fpf4000001BQoRCAW","0","00000007","2019-10-14 07:46:17","005f4000002cd9KAAQ","2019-10-14 07:46:17","005f4000002cd9KAAQ","2019-10-14 07:46:17","222.0","2019-07-25 00:00:00","2019-10-17 00:00:00","2019-12-12 00:00:00","-1","99.77","-1","-1","1750","1268"
"0Fpf4000001BdMDCA0","0","00000008","2020-02-19 09:33:06","005f4000002cd9KAAQ","2020-02-19 09:33:06","005f4000002cd9KAAQ","2020-02-19 09:33:06","224.00","2019-11-14 00:00:00","2020-02-27 00:00:00","2020-04-16 00:00:00","-1","99.79","-1","-1","1937","1777"
