"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ListEmailId","RecipientId"
"0XFf4000000YSeNGAW","0","00000001","2020-04-06 18:27:34","005f400000424IOAAY","2020-04-06 18:27:34","005f400000424IOAAY","2020-04-06 18:27:34","0XBf40000004LIyGAM","003f400000dbI4TAAU"
"0XFf4000000cS2CGAU","0","00000002","2020-04-28 17:52:11","005f400000424IOAAY","2020-04-28 17:52:11","005f400000424IOAAY","2020-04-28 17:52:11","0XBf4000000g5SuGAI","003f400001PKcajAAD"
