"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","DateStartInterval","IntervalDays","FeedElementId","Parent","ItemCount","NetworkScope"
"0ODf4000000rbbTGAQ","0","00000001","2019-02-03 14:13:53","005f4000002cd9IAAQ","2019-02-03 14:13:53","005f4000002cd9IAAQ","2019-02-03 14:13:53","2019-02-03 00:00:00","7","0D5f400001EIdZgCAL","00Qf400000DU56t","2","I"
"0ODf4000000rbbUGAQ","0","00000002","2019-02-03 14:13:53","005f4000002cd9IAAQ","2019-02-03 14:13:53","005f4000002cd9IAAQ","2019-02-03 14:13:53","2019-02-03 00:00:00","7","0D5f400001DxFQBCA3","00Qf400000DTjdg","1","I"
"0ODf4000000rbbVGAQ","0","00000003","2019-02-03 14:13:53","005f4000002cd9IAAQ","2019-02-03 14:13:53","005f4000002cd9IAAQ","2019-02-03 14:13:53","2019-02-03 00:00:00","7","0D5f400001DzSaJCAV","00Qf400000DTtCM","1","I"
"0ODf4000000reZ5GAI","0","00000004","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","2019-02-10 00:00:00","7","0D5f400001DwuDHCAZ","00Qf400000DTfeR","2","I"
"0ODf4000000reZ6GAI","0","00000005","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","2019-02-10 00:00:00","7","0D5f400001EIdZgCAL","00Qf400000DU56t","2","I"
"0ODf4000000reZ7GAI","0","00000006","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","2019-02-10 00:00:00","7","0D5f400001EYLHgCAP","00Qf400000DUVA0","2","I"
"0ODf4000000reZ8GAI","0","00000007","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","2019-02-10 00:00:00","7","0D5f400001Fz26CCAR","00Qf400000Dw0Xf","2","I"
"0ODf4000000reZ9GAI","0","00000008","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","2019-02-10 00:00:00","7","0D5f400001EY2zECAT","00Qf400000DUQ8Y","1","I"
"0ODf4000000reZAGAY","0","00000009","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","2019-02-10 00:00:00","7","0D5f400001DxFQBCA3","00Qf400000DTjdg","1","I"
"0ODf4000000reZBGAY","0","00000010","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","005f4000002cd9IAAQ","2019-02-10 14:13:20","2019-02-10 00:00:00","7","0D5f400001EJezlCAD","00Qf400000DUFcS","1","I"
