"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","npsp__Active__c","npsp__Average_Allocation__c","npsp__Description__c","npsp__First_Allocation_Date__c","npsp__Largest_Allocation__c","npsp__Last_Allocation_Date__c","npsp__Number_of_Allocations_Last_N_Days__c","npsp__Number_of_Allocations_Last_Year__c","npsp__Number_of_Allocations_This_Year__c","npsp__Number_of_Allocations_Two_Years_Ago__c","npsp__Smallest_Allocation__c","npsp__Total_Allocations_Last_N_Days__c","npsp__Total_Allocations_Last_Year__c","npsp__Total_Allocations_This_Year__c","npsp__Total_Allocations_Two_Years_Ago__c","npsp__Total_Allocations__c","npsp__Total_Number_of_Allocations__c"
"a0ef4000002FI3aAAG","005f4000002PEo1AAG","0","General Fund","2018-05-20 01:16:58","005f4000002PEo1AAG","2018-05-20 01:16:58","005f4000002cd9JAAQ","2018-05-20 01:16:58","","1","0","","","0","","0","0","0","0","0","0","0","0","0","0","0"
"a0ef4000002FI3bAAG","005f4000002PEo1AAG","0","Restricted Fund","2018-05-20 01:16:58","005f4000002PEo1AAG","2018-05-20 01:16:58","005f4000002PEo1AAG","2018-05-20 01:16:58","","1","0","","","0","","0","0","0","0","0","0","0","0","0","0","0"
