"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","npsp__Context_Type__c","npsp__Datetime__c","npsp__Email_Sent__c","npsp__Error_Type__c","npsp__Full_Message__c","npsp__Object_Type__c","npsp__Posted_in_Chatter__c","npsp__Record_URL__c","npsp__Stack_Trace__c","npsp__Related_Record_ID__c","npsp__Retry_Pending__c"
"a0Of400001BhWXqEAN","005f4000003qkvcAAA","0","000011","2019-04-23 06:09:40","005f4000003qkvcAAA","2019-04-23 06:09:40","005f4000003qkvcAAA","2019-04-23 06:09:40","","2019-04-23 06:09:40","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BhYVpEAN","005f4000003qkvcAAA","0","000012","2019-04-25 17:24:50","005f4000003qkvcAAA","2019-04-25 17:24:51","005f4000003qkvcAAA","2019-04-25 17:24:51","","2019-04-25 17:24:50","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: REQUIRED_FIELD_MISSING, Your lead is missing a field mapping for the What Course did you graduate from field. For help, talk with your admin or see <a href=""https://help.salesforce.com/articleView?id=customize_mapleads.htm"" target=""_blank"">Map Custom Lead Fields for Lead Conversion</a> in Salesforce Help.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BhYoPEAV","005f4000003qkvcAAA","0","000013","2019-04-26 03:20:27","005f4000003qkvcAAA","2019-04-26 03:20:28","005f4000003qkvcAAA","2019-04-26 03:20:28","","2019-04-26 03:20:27","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: REQUIRED_FIELD_MISSING, Your lead is missing a field mapping for the What Course did you graduate from field. For help, talk with your admin or see <a href=""https://help.salesforce.com/articleView?id=customize_mapleads.htm"" target=""_blank"">Map Custom Lead Fields for Lead Conversion</a> in Salesforce Help.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001Bhir8EAB","005f4000003qkvcAAA","0","000014","2019-05-10 06:35:11","005f4000003qkvcAAA","2019-05-10 06:35:12","005f4000003qkvcAAA","2019-05-10 06:35:12","LD","2019-05-10 06:35:11","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BhirDEAR","005f4000003qkvcAAA","0","000015","2019-05-10 06:36:13","005f4000003qkvcAAA","2019-05-10 06:36:13","005f4000003qkvcAAA","2019-05-10 06:36:13","LD","2019-05-10 06:36:13","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST, The lead conversion failed because the value for the field Whichcourse__c is invalid. The value comes from the lead field that's mapped to the field Whichcourse__c. Ask your admin to check the field mappings.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001Bhl1HEAR","005f4000003qkvcAAA","0","000016","2019-05-13 17:49:52","005f4000003qkvcAAA","2019-05-13 17:49:52","005f4000003qkvcAAA","2019-05-13 17:49:52","LD","2019-05-13 17:49:52","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: REQUIRED_FIELD_MISSING, Your lead is missing a field mapping for the What Course did you graduate from field. For help, talk with your admin or see <a href=""https://help.salesforce.com/articleView?id=customize_mapleads.htm"" target=""_blank"">Map Custom Lead Fields for Lead Conversion</a> in Salesforce Help.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BhnwkEAB","005f4000003qkvcAAA","0","000017","2019-05-17 02:33:11","005f4000003qkvcAAA","2019-05-17 02:33:13","005f4000003qkvcAAA","2019-05-17 02:33:13","LD","2019-05-17 02:33:11","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: DUPLICATES_DETECTED, Use one of these records?: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BhnwpEAB","005f4000003qkvcAAA","0","000018","2019-05-17 02:33:47","005f4000003qkvcAAA","2019-05-17 02:33:48","005f4000003qkvcAAA","2019-05-17 02:33:48","LD","2019-05-17 02:33:47","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: DUPLICATES_DETECTED, Use one of these records?: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BhnwuEAB","005f4000003qkvcAAA","0","000019","2019-05-17 02:33:58","005f4000003qkvcAAA","2019-05-17 02:33:58","005f4000003qkvcAAA","2019-05-17 02:33:58","LD","2019-05-17 02:33:58","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: DUPLICATES_DETECTED, Use one of these records?: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
"a0Of400001BhnwzEAB","005f4000003qkvcAAA","0","000020","2019-05-17 02:35:12","005f4000003qkvcAAA","2019-05-17 02:35:12","005f4000003qkvcAAA","2019-05-17 02:35:12","LD","2019-05-17 02:35:12","1","System.DmlException","ConvertLead failed. First exception on row 0; first error: CANNOT_UPDATE_CONVERTED_LEAD, This lead was already converted to the contact Christopher Chomyszak on 5/16/2019.: []","","0","","No stacktrace available at the time of saving the record. (npsp)","",""
